dteday,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_category,temp_category,cnt_binned,temp_binned
2011-01-03,50,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Low,Cold,Low,Cold
2011-01-03,51,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Low,Cold,Low,Cold
2011-01-03,52,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,Low,Cold,Low,Cold
2011-01-03,53,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Medium,Cold,Medium,Cold
2011-01-03,54,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Medium,Cold,Medium,Cold
2011-01-03,55,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Medium,Cold,Medium,Cold
2011-01-03,56,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Low,Cold,Low,Cold
2011-01-03,57,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,Medium,Cold,Medium,Cold
2011-01-03,58,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,Medium,Cold,Medium,Cold
2011-01-03,59,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,Medium,Cold,Medium,Cold
2011-01-03,60,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,Medium,Mild,Medium,Mild
2011-01-03,61,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Medium,Mild,Medium,Mild
2011-01-03,62,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Medium,Mild,Medium,Mild
2011-01-03,63,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,Medium,Cold,Medium,Cold
2011-01-03,64,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,Medium,Cold,Medium,Cold
2011-01-03,65,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Medium,Cold,Medium,Cold
2011-01-03,66,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,Medium,Cold,Medium,Cold
2011-01-03,67,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,Medium,Cold,Medium,Cold
2011-01-03,68,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,Low,Cold,Low,Cold
2011-01-03,69,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,Low,Cold,Low,Cold
2011-01-04,70,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Low,Cold,Low,Cold
2011-01-04,71,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Low,Cold,Low,Cold
2011-01-04,72,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,Low,Cold,Low,Cold
2011-01-04,73,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,Low,Cold,Low,Cold
2011-01-04,74,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,Low,Cold,Low,Cold
2011-01-04,75,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,Low,Cold,Low,Cold
2011-01-04,76,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,Medium,Cold,Medium,Cold
2011-01-04,77,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,Medium,Cold,Medium,Cold
2011-01-04,78,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Medium,Cold,Medium,Cold
2011-01-04,79,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Low,Cold,Low,Cold
2011-01-04,80,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,Medium,Cold,Medium,Cold
2011-01-04,81,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,Medium,Cold,Medium,Cold
2011-01-04,82,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Medium,Cold,Medium,Cold
2011-01-04,83,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Medium,Mild,Medium,Mild
2011-01-04,84,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,Medium,Mild,Medium,Mild
2011-01-04,85,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Medium,Mild,Medium,Mild
2011-01-04,86,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,High,Mild,High,Mild
2011-01-04,87,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Medium,Mild,Medium,Mild
2011-01-04,88,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,Medium,Cold,Medium,Cold
2011-01-04,89,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,Medium,Cold,Medium,Cold
2011-01-04,90,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,Low,Cold,Low,Cold
2011-01-04,91,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,Low,Cold,Low,Cold
2011-01-04,92,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,Low,Cold,Low,Cold
2011-01-05,93,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Low,Cold,Low,Cold
2011-01-05,94,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Low,Cold,Low,Cold
2011-01-05,95,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Low,Cold,Low,Cold
2011-01-05,96,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,Low,Cold,Low,Cold
2011-01-05,97,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,Low,Cold,Low,Cold
2011-01-05,98,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Low,Cold,Low,Cold
2011-01-05,99,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,Medium,Cold,Medium,Cold
2011-01-05,100,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Medium,Cold,Medium,Cold
2011-01-05,101,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,Medium,Cold,Medium,Cold
2011-01-05,102,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,Medium,Cold,Medium,Cold
2011-01-05,103,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,Low,Mild,Low,Mild
2011-01-05,104,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,Medium,Mild,Medium,Mild
2011-01-05,105,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Medium,Mild,Medium,Mild
2011-01-05,106,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Medium,Mild,Medium,Mild
2011-01-05,107,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Medium,Mild,Medium,Mild
2011-01-05,108,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Medium,Mild,Medium,Mild
2011-01-05,109,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,Medium,Cold,Medium,Cold
2011-01-05,110,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,Medium,Cold,Medium,Cold
2011-01-05,111,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,Medium,Cold,Medium,Cold
2011-01-05,112,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,Medium,Cold,Medium,Cold
2011-01-05,113,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Low,Cold,Low,Cold
2011-01-05,114,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,Low,Cold,Low,Cold
2011-01-05,115,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Low,Cold,Low,Cold
2011-01-06,116,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Low,Cold,Low,Cold
2011-01-06,117,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,Low,Cold,Low,Cold
2011-01-06,118,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,Low,Cold,Low,Cold
2011-01-06,119,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Low,Cold,Low,Cold
2011-01-06,120,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,Low,Cold,Low,Cold
2011-01-06,121,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,Low,Cold,Low,Cold
2011-01-06,122,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,Medium,Cold,Medium,Cold
2011-01-06,123,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,High,Cold,High,Cold
2011-01-06,124,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,Medium,Cold,Medium,Cold
2011-01-06,125,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Low,Cold,Low,Cold
2011-01-06,126,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,Medium,Cold,Medium,Cold
2011-01-06,127,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,Medium,Mild,Medium,Mild
2011-01-06,128,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,Medium,Mild,Medium,Mild
2011-01-06,129,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,Medium,Mild,Medium,Mild
2011-01-06,130,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,Medium,Mild,Medium,Mild
2011-01-06,131,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,Medium,Mild,Medium,Mild
2011-01-06,132,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,Medium,Cold,Medium,Cold
2011-01-06,133,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,Medium,Cold,Medium,Cold
2011-01-06,134,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Medium,Cold,Medium,Cold
2011-01-06,135,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,Medium,Cold,Medium,Cold
2011-01-06,136,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Low,Cold,Low,Cold
2011-01-06,137,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,Medium,Cold,Medium,Cold
2011-01-06,138,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Low,Cold,Low,Cold
2011-01-07,139,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Low,Cold,Low,Cold
2011-01-07,140,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Low,Cold,Low,Cold
2011-01-07,141,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Low,Cold,Low,Cold
2011-01-07,142,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,Low,Cold,Low,Cold
2011-01-07,143,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,Low,Cold,Low,Cold
2011-01-07,144,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Low,Cold,Low,Cold
2011-01-07,145,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,Medium,Cold,Medium,Cold
2011-01-07,146,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,High,Cold,High,Cold
2011-01-07,147,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Medium,Cold,Medium,Cold
2011-01-07,148,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,Medium,Cold,Medium,Cold
2011-01-07,149,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Medium,Cold,Medium,Cold
2011-01-07,150,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Medium,Cold,Medium,Cold
2011-01-07,151,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,Medium,Cold,Medium,Cold
2011-01-07,152,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Medium,Cold,Low,Cold
2011-01-07,153,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,Medium,Cold,Medium,Cold
2011-01-07,154,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,Medium,Cold,Medium,Cold
2011-01-07,155,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Medium,Cold,Medium,Cold
2011-01-07,156,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,Medium,Cold,Medium,Cold
2011-01-07,157,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Medium,Cold,Medium,Cold
2011-01-07,158,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,Medium,Cold,Medium,Cold
2011-01-07,159,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,Low,Cold,Low,Cold
2011-01-07,160,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,Low,Cold,Low,Cold
2011-01-07,161,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,Low,Cold,Low,Cold
2011-01-08,162,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,Low,Cold,Low,Cold
2011-01-08,163,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,Low,Cold,Low,Cold
2011-01-08,164,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Low,Cold,Low,Cold
2011-01-08,165,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,Low,Cold,Low,Cold
2011-01-08,166,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,Low,Cold,Low,Cold
2011-01-08,167,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Low,Cold,Low,Cold
2011-01-08,168,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Low,Cold,Low,Cold
2011-01-08,169,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Low,Cold,Low,Cold
2011-01-08,170,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Low,Cold,Low,Cold
2011-01-08,171,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Low,Cold,Low,Cold
2011-01-08,172,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,Medium,Cold,Medium,Cold
2011-01-08,173,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,Medium,Cold,Medium,Cold
2011-01-08,174,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,Medium,Cold,Medium,Cold
2011-01-08,175,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,Medium,Cold,Medium,Cold
2011-01-08,176,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Medium,Cold,Medium,Cold
2011-01-08,177,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Medium,Cold,Medium,Cold
2011-01-08,178,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Medium,Cold,Medium,Cold
2011-01-08,179,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,Medium,Cold,Medium,Cold
2011-01-08,180,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Medium,Cold,Medium,Cold
2011-01-08,181,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Low,Cold,Low,Cold
2011-01-08,182,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Low,Cold,Low,Cold
2011-01-08,183,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,Low,Cold,Low,Cold
2011-01-08,184,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,Low,Cold,Low,Cold
2011-01-08,185,1,0,1,23,0,6,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,Low,Cold,Low,Cold
2011-01-09,186,1,0,1,0,0,0,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,Low,Cold,Low,Cold
2011-01-09,187,1,0,1,1,0,0,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,Low,Cold,Low,Cold
2011-01-09,188,1,0,1,2,0,0,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,Low,Cold,Low,Cold
2011-01-09,189,1,0,1,3,0,0,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,Low,Cold,Low,Cold
2011-01-09,190,1,0,1,4,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Low,Cold,Low,Cold
2011-01-09,191,1,0,1,5,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Low,Cold,Low,Cold
2011-01-09,192,1,0,1,6,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,Low,Cold,Low,Cold
2011-01-09,193,1,0,1,7,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,Low,Cold,Low,Cold
2011-01-09,194,1,0,1,8,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,10,10,Low,Cold,Low,Cold
2011-01-09,195,1,0,1,9,0,0,0,1,4.92,3.7900000000000005,46.0,35.0008,0,19,19,Low,Cold,Low,Cold
2011-01-09,196,1,0,1,10,0,0,0,1,5.74,5.305,43.0,26.0027,0,49,49,Low,Cold,Low,Cold
2011-01-09,197,1,0,1,11,0,0,0,1,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,Low,Cold,Low,Cold
2011-01-09,198,1,0,1,12,0,0,0,1,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,Medium,Cold,Medium,Cold
2011-01-09,199,1,0,1,13,0,0,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,Medium,Cold,Medium,Cold
2011-01-09,200,1,0,1,14,0,0,0,1,9.02,9.09,32.0,31.0009,8,64,72,Medium,Cold,Medium,Cold
2011-01-09,201,1,0,1,15,0,0,0,1,9.02,9.85,35.0,23.9994,5,77,82,Medium,Cold,Medium,Cold
2011-01-09,202,1,0,1,16,0,0,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,Medium,Cold,Medium,Cold
2011-01-09,203,1,0,1,17,0,0,0,1,7.38,7.575,37.0,26.0027,3,59,62,Medium,Cold,Medium,Cold
2011-01-09,204,1,0,1,18,0,0,0,1,6.5600000000000005,6.819999999999999,40.0,22.0028,4,44,48,Low,Cold,Low,Cold
2011-01-09,205,1,0,1,19,0,0,0,1,6.5600000000000005,6.819999999999999,43.0,22.0028,1,40,41,Low,Cold,Low,Cold
